original_filename,copied_filename,sanitized_source_label,copied_relative_path,size_bytes,created_time,modified_time,sha256,detected_format,project_category,apparent_version,authority_classification,duplicate_group,family_group,notes
CNTM Physical Realization Phase Zero — Master Document v1.2.docx,CNTM Physical Realization Phase Zero _ Master Document v1.2.docx,fractalish_ai_external/CNTM Physical Realizer Apparatus/CNTM Physical Realization Phase Zero — Master Document v1.2.docx,05_CNTM_PHASE_ZERO/CNTM Physical Realization Phase Zero _ Master Document v1.2.docx,55000,2026-06-13T19:44:28.683427+00:00,2026-06-13T19:44:28.696425+00:00,73b512f4b8bba78df7f18e1e3ed6d2ac9da42a773440969dfca3a219eeb8ba84,docx,05_CNTM_PHASE_ZERO,v1.2,PHYSICAL_PLAN,,cntm physical realization phase zero master document,Phase Zero master document v1.2.
CNTM Physical Realization Phase Zero — New Master v1.2.docx,CNTM Physical Realization Phase Zero _ New Master v1.2.docx,fractalish_ai_external/CNTM Physical Realizer Apparatus/CNTM Physical Realization Phase Zero — New Master v1.2.docx,05_CNTM_PHASE_ZERO/CNTM Physical Realization Phase Zero _ New Master v1.2.docx,57563,2026-06-13T20:20:51.599465+00:00,2026-06-13T20:26:33.658275+00:00,f4db9f5eac511260ddad0c4e6c0cab722b98ccb908af726cdd5733eb052afde4,docx,05_CNTM_PHASE_ZERO,v1.2,PHYSICAL_PLAN,exact-f4db9f5eac51,cntm physical realization phase zero new master,Phase Zero new master v1.2.
CNTM Physical Realization Phase Zero Engineering Plan.docx,CNTM Physical Realization Phase Zero Engineering Plan.docx,fractalish_ai_external/CNTM Physical Realizer Apparatus/CNTM Physical Realization Phase Zero Engineering Plan.docx,05_CNTM_PHASE_ZERO/CNTM Physical Realization Phase Zero Engineering Plan.docx,29866,2026-06-13T14:03:04.047784+00:00,2026-06-13T14:03:04.675370+00:00,53b7b8a0e70fc8ff8b7a3999a143aa5f7f4a573bf1385a8e483f3d009577a7fb,docx,05_CNTM_PHASE_ZERO,,PHYSICAL_PLAN,,cntm physical realization phase zero engineering plan,Phase Zero engineering plan.
CNTM Phase Zero Precision Addendum.docx,CNTM Phase Zero Precision Addendum.docx,fractalish_ai_external/CNTM Physical Realizer Apparatus/CNTM Phase Zero Precision Addendum.docx,05_CNTM_PHASE_ZERO/CNTM Phase Zero Precision Addendum.docx,19144,2026-06-13T19:13:14.122787+00:00,2026-06-13T19:13:15.975596+00:00,cc76e4248a26b7c4f2378d478ae2bd95a42685f11b3a30f1de29b65e36ffb6a3,docx,05_CNTM_PHASE_ZERO,,PHYSICAL_PLAN,,cntm phase zero precision addendum,Precision addendum.
Understanding Field Engine v0.1.docx,Understanding Field Engine v0.1.docx,fractalish_ai_external/Understanding Field Engine v0.1.docx,05_CNTM_PHASE_ZERO/Understanding Field Engine v0.1.docx,32997,2026-06-10T22:56:22.073656+00:00,2026-06-10T22:56:22.553604+00:00,e5eb1392edaf2d8cd16b4560261318858b675266ca5137d9a228b531214b1990,docx,05_CNTM_PHASE_ZERO,v0.1,PHYSICAL_PLAN,,understanding field engine,Understanding Field engine spec.
CNTM Physical Realization Phase Zero — New Master v1.2.docx,CNTM Physical Realization Phase Zero _ New Master v1.2.docx,evolution_prize_2_0/TOO BIG CHAT KIMI DOWNLOADS/CNTM Physical Realization Phase Zero — New Master v1.2.docx,05_CNTM_PHASE_ZERO/CNTM Physical Realization Phase Zero _ New Master v1.2.docx,57563,2026-06-14T03:22:48.006340+00:00,2026-06-14T03:22:48.739536+00:00,f4db9f5eac511260ddad0c4e6c0cab722b98ccb908af726cdd5733eb052afde4,docx,05_CNTM_PHASE_ZERO,v1.2,PHYSICAL_PLAN,exact-f4db9f5eac51,cntm physical realization phase zero new master,Kimi export of new master v1.2.
CNTM_Physical_Realization_Phase_Zero_New_Master.docx,CNTM_Physical_Realization_Phase_Zero_New_Master.docx,evolution_prize_2_0/TOO BIG CHAT KIMI DOWNLOADS/CNTM_Physical_Realization_Phase_Zero_New_Master.docx,05_CNTM_PHASE_ZERO/CNTM_Physical_Realization_Phase_Zero_New_Master.docx,57563,2026-06-14T03:23:20.409421+00:00,2026-06-14T03:23:20.857460+00:00,f4db9f5eac511260ddad0c4e6c0cab722b98ccb908af726cdd5733eb052afde4,docx,05_CNTM_PHASE_ZERO,,PHYSICAL_PLAN,exact-f4db9f5eac51,cntm physical realization phase zero new master,Filename-variant export of new master.
Morphological Coding in Nature.docx,Morphological Coding in Nature.docx,evolution_prize_2_0/Morphological Coding in Nature.docx,06_MORPHOLOGICAL_CODING/Morphological Coding in Nature.docx,18630,2026-06-14T03:14:07.808310+00:00,2026-06-14T03:14:08.453898+00:00,97237247c02a2ffa68d696c011eaaf64e2911225f807e6dd07188426a17c692b,docx,06_MORPHOLOGICAL_CODING,,PUBLICATION_DRAFT,,morphological coding in nature,Original three-page document.
Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,evolution_prize_2_0/Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,06_MORPHOLOGICAL_CODING/Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,341697,2026-06-14T04:51:09.354386+00:00,2026-06-14T04:50:06.010953+00:00,ef832bfe3ab2cb2ce6ed40d527eeff410b703e4b458b47a25024f2672d06aa0c,docx,06_MORPHOLOGICAL_CODING,v0.2,PUBLICATION_DRAFT,exact-ef832bfe3ab2,morphological coding in nature research thesis,Expanded thesis version.
Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,other_source/Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,06_MORPHOLOGICAL_CODING/Morphological_Coding_in_Nature_Research_Thesis_v0.2.docx,341697,2026-06-14T04:50:05.257953+00:00,2026-06-14T04:50:06.010953+00:00,ef832bfe3ab2cb2ce6ed40d527eeff410b703e4b458b47a25024f2672d06aa0c,docx,06_MORPHOLOGICAL_CODING,v0.2,CONFLICTING,exact-ef832bfe3ab2,morphological coding in nature research thesis,Alternate path for same thesis family.
"The Architecture of Morphological Coding - Unifying Thermodynamics, Material Computation, and Semantic Closure in Complex Physical Systems.docx",The Architecture of Morphological Coding - Unifying Thermodynamics_ Material Computation__76d33afebc.docx,"evolution_prize_2_0/The Architecture of Morphological Coding - Unifying Thermodynamics, Material Computation, and Semantic Closure in Complex Physical Systems.docx",06_MORPHOLOGICAL_CODING/The Architecture of Morphological Coding - Unifying Thermodynamics_ Material Computation__76d33afebc.docx,30664,2026-06-14T05:08:48.878546+00:00,2026-06-14T05:08:49.299549+00:00,5c081b3b5b9c84a1238a13c45bef98cbd9ca4b49679312a25113b8983f0472fb,docx,06_MORPHOLOGICAL_CODING,,PUBLICATION_DRAFT,,the architecture of morphological coding unifying thermodynamics material computation and semantic closure in complex physical systems,Expanded architecture draft.
architecture_of_morphological_coding_extracted.txt,architecture_of_morphological_coding_extracted.txt,evolution_prize_2_0/architecture_of_morphological_coding_extracted.txt,06_MORPHOLOGICAL_CODING/architecture_of_morphological_coding_extracted.txt,35494,2026-06-14T05:14:42.568457+00:00,2026-06-14T05:14:42.568457+00:00,0b241e99bf283c86c0e503c2a1754a5def089b9280c9571b4ce6c41493cc2c00,txt,06_MORPHOLOGICAL_CODING,,THEORY_CONTEXT,,architecture of morphological coding extracted,Extracted text.
morphological_coding_in_nature_thesis_v02_extracted.txt,morphological_coding_in_nature_thesis_v02_extracted.txt,evolution_prize_2_0/morphological_coding_in_nature_thesis_v02_extracted.txt,06_MORPHOLOGICAL_CODING/morphological_coding_in_nature_thesis_v02_extracted.txt,41507,2026-06-14T05:14:42.561458+00:00,2026-06-14T05:14:42.561458+00:00,713d6e5e3cbbc83bff666ebf8ae8dc74f1ad6e31e030ac090021c7ac2032049c,txt,06_MORPHOLOGICAL_CODING,,THEORY_CONTEXT,,morphological coding in nature thesis extracted,Extracted thesis text.
Morphological Computation Vocabulary Atlas.docx,Morphological Computation Vocabulary Atlas.docx,other_source/Morphological Computation Vocabulary Atlas.docx,07_FRACTALISH_MCVA_AMCVA_HOLD/Morphological Computation Vocabulary Atlas.docx,38732,2026-06-01T20:34:35.880301+00:00,2026-06-01T20:34:36.451073+00:00,ed7e21dfc92e7663debd6b5bbf0d6d5aa2347c8083eeb27f35ce6a91ba710ec7,docx,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,morphological computation vocabulary atlas,Vocabulary atlas source.
Morphological Computation Vocabulary Atlas.pdf,Morphological Computation Vocabulary Atlas.pdf,other_source/Morphological Computation Vocabulary Atlas.pdf,07_FRACTALISH_MCVA_AMCVA_HOLD/Morphological Computation Vocabulary Atlas.pdf,148961,2026-06-01T20:34:55.076563+00:00,2026-06-01T20:34:55.251564+00:00,0fa2313b4d9a2dfc8d44df0dee4f81509e27e1ce83c1c3324383d77a00759cac,pdf,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,morphological computation vocabulary atlas,Vocabulary atlas PDF.
Machine-Native Morphological Vision Embodiment.docx,Machine-Native Morphological Vision Embodiment.docx,other_source/Machine-Native Morphological Vision Embodiment.docx,09_SYMLAN_AND_ADDRESSING/Machine-Native Morphological Vision Embodiment.docx,12161,2026-06-02T04:02:26.614668+00:00,2026-06-02T04:02:27.218799+00:00,51f8c128e8d620e985bc720bc2a18754b87a9f09fdc4f0b8bca31039ed77bccc,docx,09_SYMLAN_AND_ADDRESSING,,PUBLICATION_DRAFT,,machine native morphological vision embodiment,MNMVE draft.
Machine-Native Morphological Vision Embodiment.pdf,Machine-Native Morphological Vision Embodiment.pdf,other_source/Machine-Native Morphological Vision Embodiment.pdf,09_SYMLAN_AND_ADDRESSING/Machine-Native Morphological Vision Embodiment.pdf,15095,2026-06-02T04:10:45.421884+00:00,2026-06-02T04:10:45.601883+00:00,3092d16290e4dc075a64d7504bd7c53760185522c1004b1707b6f422b419bcde,pdf,09_SYMLAN_AND_ADDRESSING,,PUBLICATION_DRAFT,,machine native morphological vision embodiment,MNMVE PDF.
Fractalish_Natural_Math_Morphological_Memory_Current_Master_Thesis_and_Working_Appraisal.docx,Fractalish_Natural_Math_Morphological_Memory_Current_Master_Thesis_and_Working_Appraisal.docx,other_source/Fractalish_Natural_Math_Morphological_Memory_Current_Master_Thesis_and_Working_Appraisal.docx,06_MORPHOLOGICAL_CODING/Fractalish_Natural_Math_Morphological_Memory_Current_Master_Thesis_and_Working_Appraisal.docx,21202,2026-06-08T19:10:25.359378+00:00,2026-06-08T19:10:25.955378+00:00,768888276f998ecb293dd58a788e65d498083368ffc464ae4ce4fed14df1877f,docx,06_MORPHOLOGICAL_CODING,,PUBLICATION_DRAFT,,fractalish natural math morphological memory current master thesis and working appraisal,Broader master thesis/appraisal.
Natural_Math_Codex_Addition_for_Fractalish.com,Natural_Math_Codex_Addition_for_Fractalish.com,other_source/Natural_Math_Codex_Addition_for_Fractalish.com,01_NATURAL_MATH_CORE/Natural_Math_Codex_Addition_for_Fractalish.com,9404,2026-06-06T20:18:38.024621+00:00,2026-06-06T20:18:38.111722+00:00,1401ccb996ffe9077294d74a1dfce7e56a41a2861b6a153d814c5fa24f797c7a,com,01_NATURAL_MATH_CORE,,THEORY_CONTEXT,,natural math codex addition for fractalish com,Natural Math addendum for public site.
TEAM RESEARCH T81 SYMLAN.docx,TEAM RESEARCH T81 SYMLAN.docx,other_source/TEAM RESEARCH T81 SYMLAN.docx,09_SYMLAN_AND_ADDRESSING/TEAM RESEARCH T81 SYMLAN.docx,60911,2026-06-02T23:12:33.183202+00:00,2026-06-02T23:12:33.679767+00:00,b4def33ac1f583c461b67281cf07d46f19f71b398f4c82eb9200263780a97275,docx,09_SYMLAN_AND_ADDRESSING,,THEORY_CONTEXT,,team research t symlan,Team review artifact for T81/SymLan.
MCVA_AMCVA_Open_Thesis_for_Codex.md,MCVA_AMCVA_Open_Thesis_for_Codex.md,fractalish_workspace/MCVA_AMCVA_Open_Thesis_for_Codex.md,07_FRACTALISH_MCVA_AMCVA_HOLD/MCVA_AMCVA_Open_Thesis_for_Codex.md,33683,2026-06-05T21:12:14.717112+00:00,2026-06-05T21:12:14.891112+00:00,73879b80f230ee41fbc58d0c0610f9231603a7ac43437d6a45d547afe9f5ff8c,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,exact-73879b80f230,mcva amcva open thesis for codex,MCVA/AMCVA thesis draft.
MCVA_AMCVA_Open_Thesis_for_Codex_Revised.md,MCVA_AMCVA_Open_Thesis_for_Codex_Revised.md,fractalish_workspace/MCVA_AMCVA_Open_Thesis_for_Codex_Revised.md,07_FRACTALISH_MCVA_AMCVA_HOLD/MCVA_AMCVA_Open_Thesis_for_Codex_Revised.md,33683,2026-06-05T21:17:38.792389+00:00,2026-06-05T21:17:38.957832+00:00,73879b80f230ee41fbc58d0c0610f9231603a7ac43437d6a45d547afe9f5ff8c,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,exact-73879b80f230,mcva amcva open thesis for codex revised,Revised MCVA/AMCVA thesis draft.
apparatus.py,apparatus.py,fractalish_workspace/fractalish/apparatus.py,07_FRACTALISH_MCVA_AMCVA_HOLD/apparatus.py,15771,2026-06-07T02:26:56.700017+00:00,2026-06-07T02:41:29.317230+00:00,88cad07ddbe06e8b3ad4f7678b71555466e2aae898826d7940338f9e7d4aee27,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,apparatus,Fractalish analyzer package.
classify.py,classify.py,fractalish_workspace/fractalish/classify.py,07_FRACTALISH_MCVA_AMCVA_HOLD/classify.py,14631,2026-06-07T02:26:56.235018+00:00,2026-06-07T02:37:07.974333+00:00,b728c993658ae911d62b8ca0c24ac3314cde412a007a5f2c8a05e5d98b66156e,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,classify,Fractalish analyzer package.
contours.py,contours.py,fractalish_workspace/fractalish/contours.py,07_FRACTALISH_MCVA_AMCVA_HOLD/contours.py,2039,2026-06-07T02:26:56.080020+00:00,2026-06-07T02:26:56.080020+00:00,7e3a22be4b28946e119900efdb961d25790d6f4b6339e917028cf0964347f3b3,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,contours,Fractalish analyzer package.
io.py,io.py,fractalish_workspace/fractalish/io.py,07_FRACTALISH_MCVA_AMCVA_HOLD/io.py,2298,2026-06-07T02:26:55.773019+00:00,2026-06-07T02:26:55.774018+00:00,a871c3b29ae70858711abaaf3c9915a3cf3f13afe91e479b514e81d052da194a,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,io,Fractalish analyzer package.
metrics.py,metrics.py,fractalish_workspace/fractalish/metrics.py,07_FRACTALISH_MCVA_AMCVA_HOLD/metrics.py,5863,2026-06-07T02:26:56.157017+00:00,2026-06-07T02:37:07.898332+00:00,ab34af1241fd128b38a75386d02b7232583fc1de2d0d85055325f5aa6f3d0baa,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,metrics,Fractalish analyzer package.
preprocess.py,preprocess.py,fractalish_workspace/fractalish/preprocess.py,07_FRACTALISH_MCVA_AMCVA_HOLD/preprocess.py,584,2026-06-07T02:26:55.850020+00:00,2026-06-07T02:26:55.851020+00:00,0661b9e7337abb15be8764ddec670223ca3db33c5416e1bfc9243dcc91499ff2,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,preprocess,Fractalish analyzer package.
reports.py,reports.py,fractalish_workspace/fractalish/reports.py,07_FRACTALISH_MCVA_AMCVA_HOLD/reports.py,3257,2026-06-07T02:39:39.533694+00:00,2026-06-07T02:39:39.533694+00:00,e0b818b321843a7659c9392aa399b83c84ad8a41c6007fbeb4ee07d036845104,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,reports,Fractalish analyzer package.
routing.py,routing.py,fractalish_workspace/fractalish/routing.py,07_FRACTALISH_MCVA_AMCVA_HOLD/routing.py,3485,2026-06-07T02:26:56.313017+00:00,2026-06-07T02:37:08.144328+00:00,34ccdbeb1d3a53faf718e18353772ac3e9820258e669aaf8affa716155fe84d5,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,routing,Fractalish analyzer package.
schemas.py,schemas.py,fractalish_workspace/fractalish/schemas.py,07_FRACTALISH_MCVA_AMCVA_HOLD/schemas.py,268,2026-06-07T02:26:56.546019+00:00,2026-06-07T02:26:56.546019+00:00,884b1a38ff59b87dfeb40f27437999cbe55c529a21517f0a05320c0af2a5e93e,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,schemas,Fractalish analyzer package.
segmentation.py,segmentation.py,fractalish_workspace/fractalish/segmentation.py,07_FRACTALISH_MCVA_AMCVA_HOLD/segmentation.py,1025,2026-06-07T02:26:55.927020+00:00,2026-06-07T02:26:55.927020+00:00,f31bbe1e805eb877390f0b90622888f779c76e5c09347c31f0318c576e8c8260,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,segmentation,Fractalish analyzer package.
skeleton.py,skeleton.py,fractalish_workspace/fractalish/skeleton.py,07_FRACTALISH_MCVA_AMCVA_HOLD/skeleton.py,614,2026-06-07T02:26:56.003018+00:00,2026-06-07T02:26:56.003018+00:00,d8561a1c36b79097db948f2a879d7f894a00faee795b159e2805f1a153b4680e,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,skeleton,Fractalish analyzer package.
svg_export.py,svg_export.py,fractalish_workspace/fractalish/svg_export.py,07_FRACTALISH_MCVA_AMCVA_HOLD/svg_export.py,746,2026-06-07T02:26:56.391019+00:00,2026-06-07T02:26:56.391019+00:00,c478a5e62768801051069cdad12aa2b9de8e280703a348195c49cfe905175bfe,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,svg export,Fractalish analyzer package.
synthetic.py,synthetic.py,fractalish_workspace/fractalish/synthetic.py,07_FRACTALISH_MCVA_AMCVA_HOLD/synthetic.py,1918,2026-06-07T02:26:56.623016+00:00,2026-06-07T02:37:08.487328+00:00,4c04f25b4d572309b0a19980232588a05c038f7f1195c806cda0c16048392ab6,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,synthetic,Fractalish analyzer package.
_backend.py,_backend.py,fractalish_workspace/fractalish/_backend.py,07_FRACTALISH_MCVA_AMCVA_HOLD/_backend.py,974,2026-06-07T02:26:55.695017+00:00,2026-06-07T02:26:55.695017+00:00,f70db018302202bf7446fb804a01937970d75a18c4087df13f76b497c3c38a0e,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,backend,Fractalish analyzer package.
__init__.py,__init__.py,fractalish_workspace/fractalish/__init__.py,07_FRACTALISH_MCVA_AMCVA_HOLD/__init__.py,283,2026-06-07T02:26:55.616018+00:00,2026-06-07T02:26:55.617018+00:00,adbaddc4766ce726700167245c905629b80fce24b1397f19fada70944ece719a,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,init,Fractalish analyzer package.
fractalish_analyze.py,fractalish_analyze.py,fractalish_workspace/tools/fractalish_analyze.py,07_FRACTALISH_MCVA_AMCVA_HOLD/fractalish_analyze.py,1418,2026-06-07T02:26:56.830017+00:00,2026-06-07T02:38:54.965312+00:00,6ed477942d125b7f18ebab7c98ce7567883477512ba530a3104b0a20b5446e54,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,fractalish analyze,Analyzer CLI.
fractalish_compare.py,fractalish_compare.py,fractalish_workspace/tools/fractalish_compare.py,07_FRACTALISH_MCVA_AMCVA_HOLD/fractalish_compare.py,871,2026-06-07T02:26:56.906020+00:00,2026-06-07T02:38:55.041312+00:00,8f21dc0a819b5a8fb1cd4a85df511d8b488c89daeacc1a8e36a5b05baeeab840,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,fractalish compare,Compare CLI.
fractalish_batch.py,fractalish_batch.py,fractalish_workspace/tools/fractalish_batch.py,07_FRACTALISH_MCVA_AMCVA_HOLD/fractalish_batch.py,830,2026-06-07T02:26:56.983018+00:00,2026-06-07T02:38:55.115312+00:00,bb832573276a2cbed1643ed40504129b4681ed930a931f62b37b0cffd47bc509,py,07_FRACTALISH_MCVA_AMCVA_HOLD,,REFERENCE_IMPLEMENTATION,,fractalish batch,Batch CLI.
ai_cognition_notes.md,ai_cognition_notes.md,fractalish_workspace/mcva-public/docs/ai_cognition_notes.md,07_FRACTALISH_MCVA_AMCVA_HOLD/ai_cognition_notes.md,444,2026-06-05T21:25:00.478578+00:00,2026-06-05T21:25:00.478578+00:00,f5a1f08ba64d09c75a1b049154437d4ceba6b1f8d5397f0fd182e44671ebf15c,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,ai cognition notes,MCVA public docs.
atlas_manifest.md,atlas_manifest.md,fractalish_workspace/mcva-public/docs/atlas_manifest.md,07_FRACTALISH_MCVA_AMCVA_HOLD/atlas_manifest.md,472,2026-06-05T21:25:00.124590+00:00,2026-06-05T21:25:00.124590+00:00,98e1af09ffd3a0ba06cf0b165cc9f1a754e8f146b69ba62b78b01183a9fbdb50,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,atlas manifest,MCVA public docs.
fractal_math_primer.md,fractal_math_primer.md,fractalish_workspace/mcva-public/docs/fractal_math_primer.md,07_FRACTALISH_MCVA_AMCVA_HOLD/fractal_math_primer.md,960,2026-06-06T18:16:37.363681+00:00,2026-06-06T18:16:37.363681+00:00,e44789d782f4e30828b92adb22dabcc1c4c22783417abbf9a01067f6a258accf,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,fractal math primer,MCVA public docs.
glossary.md,glossary.md,fractalish_workspace/mcva-public/docs/glossary.md,07_FRACTALISH_MCVA_AMCVA_HOLD/glossary.md,820,2026-06-05T21:25:00.336598+00:00,2026-06-05T21:25:00.336598+00:00,ce616e3642743c7db2c641775b37fbca74c4beb46fba668d52cd7fbf44ae43c4,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,glossary,MCVA public docs.
guardrails.md,guardrails.md,fractalish_workspace/mcva-public/docs/guardrails.md,07_FRACTALISH_MCVA_AMCVA_HOLD/guardrails.md,1319,2026-06-06T18:16:37.289678+00:00,2026-06-06T18:16:37.289678+00:00,d1f61bb65df2fcfe1365d80a8afc112f4db47e616f71139bebec883253cacc8f,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,guardrails,MCVA public docs.
homepage_announcement.md,homepage_announcement.md,fractalish_workspace/mcva-public/docs/homepage_announcement.md,07_FRACTALISH_MCVA_AMCVA_HOLD/homepage_announcement.md,1589,2026-06-05T22:40:14.279606+00:00,2026-06-05T22:40:14.279606+00:00,c2da44e46c7048dc279541aae9e2ac78e88cf0d22335077f7a0c9ce48bfd478c,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,homepage announcement,MCVA public docs.
initial_issues.md,initial_issues.md,fractalish_workspace/mcva-public/docs/initial_issues.md,07_FRACTALISH_MCVA_AMCVA_HOLD/initial_issues.md,3635,2026-06-05T21:32:03.280372+00:00,2026-06-06T18:28:24.574147+00:00,63da7e0143c0842159762df6beacc71e274aa99d1bdc1ec1dbda030139226fa0,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,initial issues,MCVA public docs.
LICENSE-CC-BY-4.0.md,LICENSE-CC-BY-4.0.md,fractalish_workspace/mcva-public/docs/LICENSE-CC-BY-4.0.md,07_FRACTALISH_MCVA_AMCVA_HOLD/LICENSE-CC-BY-4.0.md,277,2026-06-05T21:24:59.541588+00:00,2026-06-05T21:24:59.541588+00:00,4b311f761c9a0434052585f756c47802a929528a06f9ffadeb051375fe3a3b07,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,license cc by,MCVA public docs.
mcva_amcva_overview.md,mcva_amcva_overview.md,fractalish_workspace/mcva-public/docs/mcva_amcva_overview.md,07_FRACTALISH_MCVA_AMCVA_HOLD/mcva_amcva_overview.md,679,2026-06-05T21:24:59.760591+00:00,2026-06-05T21:24:59.760591+00:00,7000739878183d08ee434ba24033edb8c4a75fc3c0a529c6c1abc6d2fe2bfbe4,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,mcva amcva overview,MCVA public docs.
mcva_gate_hold.md,mcva_gate_hold.md,fractalish_workspace/mcva-public/docs/mcva_gate_hold.md,07_FRACTALISH_MCVA_AMCVA_HOLD/mcva_gate_hold.md,765,2026-06-05T21:24:59.974589+00:00,2026-06-05T21:24:59.974589+00:00,a6bf88aa7725832a81e4aba7a4d370ececb2d5ecc3d4f22efab4285abbf31b70,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,mcva gate hold,MCVA public docs.
method.md,method.md,fractalish_workspace/mcva-public/docs/method.md,07_FRACTALISH_MCVA_AMCVA_HOLD/method.md,1295,2026-06-06T18:16:37.212679+00:00,2026-06-06T18:16:37.212679+00:00,c3d836daad2749d0e50004b6b613849b359df5ec12a52fabe4c485ecc61eb2f3,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,method,MCVA public docs.
morphology_as_process_memory.md,morphology_as_process_memory.md,fractalish_workspace/mcva-public/docs/morphology_as_process_memory.md,07_FRACTALISH_MCVA_AMCVA_HOLD/morphology_as_process_memory.md,754,2026-06-05T21:24:59.831588+00:00,2026-06-05T21:24:59.831588+00:00,214d578a56cb53531291ce1f7c55b06dceabbc831500a29801525ae0db672d7b,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,morphology as process memory,MCVA public docs.
natural_math_integration.md,natural_math_integration.md,fractalish_workspace/mcva-public/docs/natural_math_integration.md,07_FRACTALISH_MCVA_AMCVA_HOLD/natural_math_integration.md,1055,2026-06-05T21:24:59.902589+00:00,2026-06-05T21:24:59.903588+00:00,45b703a4822649ac8ca043e807788372af78f1c3a6cf07d0d867f2f401a261a4,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,natural math integration,MCVA public docs.
non_claims.md,non_claims.md,fractalish_workspace/mcva-public/docs/non_claims.md,07_FRACTALISH_MCVA_AMCVA_HOLD/non_claims.md,365,2026-06-05T21:25:00.195588+00:00,2026-06-05T21:25:00.196590+00:00,def57d509fe7ea2d2976888135411b1076ebaa3603de03891d71c7c60b6d0887,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,non claims,MCVA public docs.
open_release_doctrine.md,open_release_doctrine.md,fractalish_workspace/mcva-public/docs/open_release_doctrine.md,07_FRACTALISH_MCVA_AMCVA_HOLD/open_release_doctrine.md,1248,2026-06-05T21:24:59.614589+00:00,2026-06-05T21:24:59.615588+00:00,06cb82c533c25b3bcd86993a39ab2d5b9b2df3bfe443fdbf3d7f938159261c9a,md,07_FRACTALISH_MCVA_AMCVA_HOLD,,CURRENT_SPECIFICATION,,open release doctrine,MCVA public docs.
